index,title,imdb_id,tmdb_id,poster_url,poster_image_formula,genre,release_date,director,poster_count,result
1,Inception,tt1375666,27205,https://assets.fanart.tv/fanart/inception-52df821bd2a9f.jpg,"=IMAGE(""https://assets.fanart.tv/fanart/inception-52df821bd2a9f.jpg"")",action film / adventure film / drama film / heist film / mystery film / science fiction action film / science fiction film / thriller film,2010-07-08,Christopher Nolan,31,PASS
2,The Matrix,tt0133093,603,https://assets.fanart.tv/fanart/the-matrix-53b1a283180a1.jpg,"=IMAGE(""https://assets.fanart.tv/fanart/the-matrix-53b1a283180a1.jpg"")",action film / action thriller / cyberpunk / dystopian film / film noir / post-apocalyptic film / science fiction film / superhero film / thriller film,1999-03-31,Lana Wachowski / Lilly Wachowski,37,PASS
3,Parasite,tt6751668,496243,https://assets.fanart.tv/fanart/parasite-5d2d59cb46671.jpg,"=IMAGE(""https://assets.fanart.tv/fanart/parasite-5d2d59cb46671.jpg"")",black comedy / comedy drama / thriller film,2019-05-21,Bong Joon-ho,13,PASS
4,Spirited Away,tt0245429,129,https://assets.fanart.tv/fanart/spirited-away-53413e0abc9e5.jpg,"=IMAGE(""https://assets.fanart.tv/fanart/spirited-away-53413e0abc9e5.jpg"")",children's film / coming-of-age film / drama film / fantasy anime and manga / fantasy film / isekai / supernatural anime,2001-07-20,Hayao Miyazaki,18,PASS
5,The Godfather,tt0068646,238,https://assets.fanart.tv/fanart/the-godfather-54b308c393048.jpg,"=IMAGE(""https://assets.fanart.tv/fanart/the-godfather-54b308c393048.jpg"")",crime drama film / crime film / crime thriller film / drama film / epic film / gangster film / historical drama film / historical film / police procedural film / suspense film / thriller film,1972-03-15,Francis Ford Coppola,23,PASS
6,Pulp Fiction,tt0110912,680,https://assets.fanart.tv/fanart/pulp-fiction-5229c921ab881.jpg,"=IMAGE(""https://assets.fanart.tv/fanart/pulp-fiction-5229c921ab881.jpg"")",action film / action thriller / black comedy film / comedy drama / comedy film / crime comedy film / crime drama film / crime film / crime thriller film / drama film / gangster film / independent film / neo-noir / suspense film / thriller film,1994-05-21,Quentin Tarantino,22,PASS
7,The Dark Knight,tt0468569,155,https://assets.fanart.tv/fanart/the-dark-knight-551465d577af5.jpg,"=IMAGE(""https://assets.fanart.tv/fanart/the-dark-knight-551465d577af5.jpg"")",action film / crime film / crime thriller film / drama film / neo-noir / superhero film / thriller film,2008-07-18,Christopher Nolan,50,PASS
8,La La Land,tt3783958,313369,https://assets.fanart.tv/fanart/la-la-land-5831aea494153.jpg,"=IMAGE(""https://assets.fanart.tv/fanart/la-la-land-5831aea494153.jpg"")",comedy drama / comedy film / dance film / drama film / musical film / romance film,2016-08-31,Damien Chazelle,24,PASS
9,Mad Max: Fury Road,tt1392190,76341,https://assets.fanart.tv/fanart/mad-max-fury-road-55dbd00d0685b.jpg,"=IMAGE(""https://assets.fanart.tv/fanart/mad-max-fury-road-55dbd00d0685b.jpg"")",action film / adventure film / dystopian film / post-apocalyptic film / science fiction film,2015-05-13,George Miller,47,PASS
10,Arrival,tt2543164,329865,https://assets.fanart.tv/fanart/arrival-58926ee109e95.jpg,"=IMAGE(""https://assets.fanart.tv/fanart/arrival-58926ee109e95.jpg"")",drama film / mystery film / science fiction film / thriller film,2016-11-10,Denis Villeneuve,33,PASS
